Account_Number,DOE,Invoice_Number,Invoice_Date,Due_Date,Invoice_Amount,Paid_Date,Paid_Amount,Payment_Terms,Invoice_Type,Currency,Source_Filename,Source_Row_Index,Source_Contributor_ID,Source_File_Format,Mapping_Reference_ID,Record_Status,Record_Version,Insert_Timestamp,Last_Modified_Timestamp,Inserted_By_Job,Last_Modified_By_Job,Processing_System
ACCT-10001,2025-07-02,INV-20250001,2025-01-04,2025-02-03,517.35,2025-01-24,507.35,Net 60,,SGD,trade_contrib_01_standard.csv,1,UNKNOWN,csv,14e45859-2ffb-4089-8872-452180205754,ACTIVE,1,2026-03-08T10:10:10.966359+00:00,2026-03-08T10:10:10.966359+00:00,96e6d828-2822-4e85-a0c5-542182011f54,96e6d828-2822-4e85-a0c5-542182011f54,DataIngestionPOC-1.0
ACCT-10002,2025-07-03,INV-20250002,2025-01-07,2025-02-06,534.7,2025-01-27,514.7,EOM 30,,GBP,trade_contrib_01_standard.csv,2,UNKNOWN,csv,14e45859-2ffb-4089-8872-452180205754,ACTIVE,1,2026-03-08T10:10:10.966359+00:00,2026-03-08T10:10:10.966359+00:00,96e6d828-2822-4e85-a0c5-542182011f54,96e6d828-2822-4e85-a0c5-542182011f54,DataIngestionPOC-1.0
ACCT-10003,2025-07-04,INV-20250003,2025-01-10,2025-02-09,552.05,2025-01-30,522.05,EOM 30,,USD,trade_contrib_01_standard.csv,3,UNKNOWN,csv,14e45859-2ffb-4089-8872-452180205754,ACTIVE,1,2026-03-08T10:10:10.966359+00:00,2026-03-08T10:10:10.966359+00:00,96e6d828-2822-4e85-a0c5-542182011f54,96e6d828-2822-4e85-a0c5-542182011f54,DataIngestionPOC-1.0
ACCT-10004,2025-07-05,INV-20250004,2025-01-13,2025-02-12,569.4,2025-02-02,569.4,EOM 30,,EUR,trade_contrib_01_standard.csv,4,UNKNOWN,csv,14e45859-2ffb-4089-8872-452180205754,ACTIVE,1,2026-03-08T10:10:10.966359+00:00,2026-03-08T10:10:10.966359+00:00,96e6d828-2822-4e85-a0c5-542182011f54,96e6d828-2822-4e85-a0c5-542182011f54,DataIngestionPOC-1.0
ACCT-10005,2025-07-06,INV-20250005,2025-01-16,2025-02-15,586.75,2025-02-05,576.75,Net 60,,INR,trade_contrib_01_standard.csv,5,UNKNOWN,csv,14e45859-2ffb-4089-8872-452180205754,ACTIVE,1,2026-03-08T10:10:10.966359+00:00,2026-03-08T10:10:10.966359+00:00,96e6d828-2822-4e85-a0c5-542182011f54,96e6d828-2822-4e85-a0c5-542182011f54,DataIngestionPOC-1.0
ACCT-10006,2025-07-07,INV-20250006,2025-01-19,2025-02-18,604.1,2025-02-08,584.1,Net 60,,INR,trade_contrib_01_standard.csv,6,UNKNOWN,csv,14e45859-2ffb-4089-8872-452180205754,ACTIVE,1,2026-03-08T10:10:10.966359+00:00,2026-03-08T10:10:10.966359+00:00,96e6d828-2822-4e85-a0c5-542182011f54,96e6d828-2822-4e85-a0c5-542182011f54,DataIngestionPOC-1.0
ACCT-10007,2025-07-08,INV-20250007,2025-01-22,2025-02-21,621.45,2025-02-11,591.45,Net 45,,USD,trade_contrib_01_standard.csv,7,UNKNOWN,csv,14e45859-2ffb-4089-8872-452180205754,ACTIVE,1,2026-03-08T10:10:10.966359+00:00,2026-03-08T10:10:10.966359+00:00,96e6d828-2822-4e85-a0c5-542182011f54,96e6d828-2822-4e85-a0c5-542182011f54,DataIngestionPOC-1.0
ACCT-10008,2025-07-09,INV-20250008,2025-01-25,2025-02-24,638.8,2025-02-14,638.8,EOM 30,,USD,trade_contrib_01_standard.csv,8,UNKNOWN,csv,14e45859-2ffb-4089-8872-452180205754,ACTIVE,1,2026-03-08T10:10:10.966359+00:00,2026-03-08T10:10:10.966359+00:00,96e6d828-2822-4e85-a0c5-542182011f54,96e6d828-2822-4e85-a0c5-542182011f54,DataIngestionPOC-1.0
ACCT-10009,2025-07-10,INV-20250009,2025-01-28,2025-02-27,656.15,2025-02-17,646.15,EOM 30,,USD,trade_contrib_01_standard.csv,9,UNKNOWN,csv,14e45859-2ffb-4089-8872-452180205754,ACTIVE,1,2026-03-08T10:10:10.966359+00:00,2026-03-08T10:10:10.966359+00:00,96e6d828-2822-4e85-a0c5-542182011f54,96e6d828-2822-4e85-a0c5-542182011f54,DataIngestionPOC-1.0
ACCT-10010,2025-07-11,INV-20250010,2025-01-31,2025-03-02,673.5,2025-02-20,653.5,Net 30,,INR,trade_contrib_01_standard.csv,10,UNKNOWN,csv,14e45859-2ffb-4089-8872-452180205754,ACTIVE,1,2026-03-08T10:10:10.966359+00:00,2026-03-08T10:10:10.966359+00:00,96e6d828-2822-4e85-a0c5-542182011f54,96e6d828-2822-4e85-a0c5-542182011f54,DataIngestionPOC-1.0
ACCT-10011,2025-07-12,INV-20250011,2025-02-03,2025-02-01,690.85,2025-02-23,660.85,Net 60,,INR,trade_contrib_01_standard.csv,11,UNKNOWN,csv,14e45859-2ffb-4089-8872-452180205754,ACTIVE,1,2026-03-08T10:10:10.966359+00:00,2026-03-08T10:10:10.966359+00:00,96e6d828-2822-4e85-a0c5-542182011f54,96e6d828-2822-4e85-a0c5-542182011f54,DataIngestionPOC-1.0
ACCT-10012,2025-07-13,INV-20250012,2025-02-06,2025-03-08,708.2,2025-02-26,708.2,Net 60,,GBP,trade_contrib_01_standard.csv,12,UNKNOWN,csv,14e45859-2ffb-4089-8872-452180205754,ACTIVE,1,2026-03-08T10:10:10.966359+00:00,2026-03-08T10:10:10.966359+00:00,96e6d828-2822-4e85-a0c5-542182011f54,96e6d828-2822-4e85-a0c5-542182011f54,DataIngestionPOC-1.0
ACCT-10013,2025-07-14,INV-20250013,2025-02-09,2025-03-11,725.55,2025-03-01,775.55,EOM 30,,SGD,trade_contrib_01_standard.csv,13,UNKNOWN,csv,14e45859-2ffb-4089-8872-452180205754,ACTIVE,1,2026-03-08T10:10:10.966359+00:00,2026-03-08T10:10:10.966359+00:00,96e6d828-2822-4e85-a0c5-542182011f54,96e6d828-2822-4e85-a0c5-542182011f54,DataIngestionPOC-1.0
ACCT-10014,2025-07-15,INV-20250014,2025-02-12,2025-03-14,742.9,2025-03-04,722.9,Net 30,,EUR,trade_contrib_01_standard.csv,14,UNKNOWN,csv,14e45859-2ffb-4089-8872-452180205754,ACTIVE,1,2026-03-08T10:10:10.966359+00:00,2026-03-08T10:10:10.966359+00:00,96e6d828-2822-4e85-a0c5-542182011f54,96e6d828-2822-4e85-a0c5-542182011f54,DataIngestionPOC-1.0
ACCT-10015,2025-07-16,INV-20250015,2025-02-15,2025-03-17,760.25,2025-03-07,730.25,EOM 30,,GBP,trade_contrib_01_standard.csv,15,UNKNOWN,csv,14e45859-2ffb-4089-8872-452180205754,ACTIVE,1,2026-03-08T10:10:10.966359+00:00,2026-03-08T10:10:10.966359+00:00,96e6d828-2822-4e85-a0c5-542182011f54,96e6d828-2822-4e85-a0c5-542182011f54,DataIngestionPOC-1.0
ACCT-10016,2025-07-17,INV-20250016,2025-02-18,2025-03-20,777.6,2025-03-10,777.6,Net 45,,INR,trade_contrib_01_standard.csv,16,UNKNOWN,csv,14e45859-2ffb-4089-8872-452180205754,ACTIVE,1,2026-03-08T10:10:10.966359+00:00,2026-03-08T10:10:10.966359+00:00,96e6d828-2822-4e85-a0c5-542182011f54,96e6d828-2822-4e85-a0c5-542182011f54,DataIngestionPOC-1.0
ACCT-10017,2025-07-18,INV-20250017,2025-02-21,2025-03-23,794.95,2025-03-13,784.95,Net 45,,USDX,trade_contrib_01_standard.csv,17,UNKNOWN,csv,14e45859-2ffb-4089-8872-452180205754,ACTIVE,1,2026-03-08T10:10:10.966359+00:00,2026-03-08T10:10:10.966359+00:00,96e6d828-2822-4e85-a0c5-542182011f54,96e6d828-2822-4e85-a0c5-542182011f54,DataIngestionPOC-1.0
ACCT-10018,2025-07-19,INV-20250018,2025-02-24,2025-03-26,812.3,2025-03-16,792.3,EOM 30,,SGD,trade_contrib_01_standard.csv,18,UNKNOWN,csv,14e45859-2ffb-4089-8872-452180205754,ACTIVE,1,2026-03-08T10:10:10.966359+00:00,2026-03-08T10:10:10.966359+00:00,96e6d828-2822-4e85-a0c5-542182011f54,96e6d828-2822-4e85-a0c5-542182011f54,DataIngestionPOC-1.0
,2025-07-20,INV-20250019,2025-02-27,2025-03-29,829.65,2025-03-19,799.65,EOM 30,,EUR,trade_contrib_01_standard.csv,19,UNKNOWN,csv,14e45859-2ffb-4089-8872-452180205754,ACTIVE,1,2026-03-08T10:10:10.966359+00:00,2026-03-08T10:10:10.966359+00:00,96e6d828-2822-4e85-a0c5-542182011f54,96e6d828-2822-4e85-a0c5-542182011f54,DataIngestionPOC-1.0
ACCT-10020,2025-07-21,INV-20250020,2025-03-02,2025-04-01,847.0,2025-03-22,847.0,Net 30,,SGD,trade_contrib_01_standard.csv,20,UNKNOWN,csv,14e45859-2ffb-4089-8872-452180205754,ACTIVE,1,2026-03-08T10:10:10.966359+00:00,2026-03-08T10:10:10.966359+00:00,96e6d828-2822-4e85-a0c5-542182011f54,96e6d828-2822-4e85-a0c5-542182011f54,DataIngestionPOC-1.0
ACCT-10021,2025-07-22,INV-20250021,2025-03-05,2025-04-04,864.35,2025-03-25,854.35,EOM 30,,USD,trade_contrib_01_standard.csv,21,UNKNOWN,csv,14e45859-2ffb-4089-8872-452180205754,ACTIVE,1,2026-03-08T10:10:10.966359+00:00,2026-03-08T10:10:10.966359+00:00,96e6d828-2822-4e85-a0c5-542182011f54,96e6d828-2822-4e85-a0c5-542182011f54,DataIngestionPOC-1.0
ACCT-10022,2025-07-23,INV-20250022,2025-03-08,2025-03-06,881.7,2025-03-28,861.7,Net 60,,SGD,trade_contrib_01_standard.csv,22,UNKNOWN,csv,14e45859-2ffb-4089-8872-452180205754,ACTIVE,1,2026-03-08T10:10:10.966359+00:00,2026-03-08T10:10:10.966359+00:00,96e6d828-2822-4e85-a0c5-542182011f54,96e6d828-2822-4e85-a0c5-542182011f54,DataIngestionPOC-1.0
ACCT-10023,2025-07-24,INV-20250023,2025-03-11,2025-04-10,899.05,2025-03-31,869.05,Net 45,,EUR,trade_contrib_01_standard.csv,23,UNKNOWN,csv,14e45859-2ffb-4089-8872-452180205754,ACTIVE,1,2026-03-08T10:10:10.966359+00:00,2026-03-08T10:10:10.966359+00:00,96e6d828-2822-4e85-a0c5-542182011f54,96e6d828-2822-4e85-a0c5-542182011f54,DataIngestionPOC-1.0
ACCT-10024,2025-07-25,INV-20250024,2025-03-14,2025-04-13,916.4,2025-04-03,916.4,Net 45,,GBP,trade_contrib_01_standard.csv,24,UNKNOWN,csv,14e45859-2ffb-4089-8872-452180205754,ACTIVE,1,2026-03-08T10:10:10.966359+00:00,2026-03-08T10:10:10.966359+00:00,96e6d828-2822-4e85-a0c5-542182011f54,96e6d828-2822-4e85-a0c5-542182011f54,DataIngestionPOC-1.0
ACCT-10025,2025-07-26,INV-20250025,2025-03-17,2025-04-16,933.75,2025-04-06,923.75,Net 30,,SGD,trade_contrib_01_standard.csv,25,UNKNOWN,csv,14e45859-2ffb-4089-8872-452180205754,ACTIVE,1,2026-03-08T10:10:10.966359+00:00,2026-03-08T10:10:10.966359+00:00,96e6d828-2822-4e85-a0c5-542182011f54,96e6d828-2822-4e85-a0c5-542182011f54,DataIngestionPOC-1.0
ACCT-10026,2025-07-27,INV-20250026,2025-03-20,2025-04-19,951.1,2025-04-09,1001.1,EOM 30,,SGD,trade_contrib_01_standard.csv,26,UNKNOWN,csv,14e45859-2ffb-4089-8872-452180205754,ACTIVE,1,2026-03-08T10:10:10.966359+00:00,2026-03-08T10:10:10.966359+00:00,96e6d828-2822-4e85-a0c5-542182011f54,96e6d828-2822-4e85-a0c5-542182011f54,DataIngestionPOC-1.0
ACCT-10027,2025-07-28,INV-20250027,2025-03-23,2025-04-22,968.45,2025-04-12,938.45,EOM 30,,USD,trade_contrib_01_standard.csv,27,UNKNOWN,csv,14e45859-2ffb-4089-8872-452180205754,ACTIVE,1,2026-03-08T10:10:10.966359+00:00,2026-03-08T10:10:10.966359+00:00,96e6d828-2822-4e85-a0c5-542182011f54,96e6d828-2822-4e85-a0c5-542182011f54,DataIngestionPOC-1.0
ACCT-10028,2025-07-29,INV-20250028,2025-03-26,2025-04-25,985.8,2025-04-15,985.8,Net 60,,EUR,trade_contrib_01_standard.csv,28,UNKNOWN,csv,14e45859-2ffb-4089-8872-452180205754,ACTIVE,1,2026-03-08T10:10:10.966359+00:00,2026-03-08T10:10:10.966359+00:00,96e6d828-2822-4e85-a0c5-542182011f54,96e6d828-2822-4e85-a0c5-542182011f54,DataIngestionPOC-1.0
ACCT-10029,2025-07-30,INV-20250029,2025-03-29,2025-04-28,1003.15,2025-04-18,993.15,Net 30,,AUD,trade_contrib_01_standard.csv,29,UNKNOWN,csv,14e45859-2ffb-4089-8872-452180205754,ACTIVE,1,2026-03-08T10:10:10.966359+00:00,2026-03-08T10:10:10.966359+00:00,96e6d828-2822-4e85-a0c5-542182011f54,96e6d828-2822-4e85-a0c5-542182011f54,DataIngestionPOC-1.0
ACCT-10030,2025-07-31,INV-20250030,2025-04-01,2025-05-01,1020.5,2025-04-21,1000.5,Net 60,,AUD,trade_contrib_01_standard.csv,30,UNKNOWN,csv,14e45859-2ffb-4089-8872-452180205754,ACTIVE,1,2026-03-08T10:10:10.966359+00:00,2026-03-08T10:10:10.966359+00:00,96e6d828-2822-4e85-a0c5-542182011f54,96e6d828-2822-4e85-a0c5-542182011f54,DataIngestionPOC-1.0
